1. Point  150 150 -50
88. Point  170 150 -35
89. Point  170 150 -30
90. Point  170 150 -25
91. Point  170 150 -20
92. Point  170 150 -15
93. Point  170 150 -10
94. Point  170 150 -5
95. Point  170 150 0
96. Point  170 150 5
97. Point  170 150 10
98. Point  170 150 15
99. Point  170 150 20
100. Point  170 150 25
101. Point  170 150 30
102. Point  170 150 35
103. Point  170 150 40
104. Point  170 150 45
105. Point  170 150 50
106. Point  175 150 -50
107. Point  175 150 -45
108. Point  175 150 -40
109. Point  175 150 -35
110. Point  175 150 -30
111. Point  175 150 -25
112. Point  175 150 -20
113. Point  175 150 -15
114. Point  175 150 -10
115. Point  175 150 -5
116. Point  175 150 0
117. Point  175 150 5
118. Point  175 150 10
119. Point  175 150 15
120. Point  175 150 20
121. Point  175 150 25
122. Point  175 150 30
123. Point  175 150 35
124. Point  175 150 40
125. Point  175 150 45
126. Point  175 150 50
127. Point  180 150 -50
128. Point  180 150 -45
129. Point  180 150 -40
130. Point  180 150 -35
131. Point  180 150 -30
132. Point  180 150 -25
133. Point  180 150 -20
134. Point  180 150 -15
135. Point  180 150 -10
136. Point  180 150 -5
137. Point  180 150 0
138. Point  180 150 5
139. Point  180 150 10
140. Point  180 150 15
141. Point  180 150 20
142. Point  180 150 25
143. Point  180 150 30
144. Point  180 150 35
145. Point  180 150 40
146. Point  180 150 45
147. Point  180 150 50
148. Point  185 150 -50
149. Point  185 150 -45
150. Point  185 150 -40
151. Point  185 150 -35
152. Point  185 150 -30
153. Point  185 150 -25
154. Point  185 150 -20
155. Point  185 150 -15
156. Point  185 150 -10
157. Point  185 150 -5
158. Point  185 150 0
159. Point  185 150 5
160. Point  185 150 10
161. Point  185 150 15
162. Point  185 150 20
163. Point  185 150 25
164. Point  185 150 30
165. Point  185 150 35
166. Point  185 150 40
167. Point  185 150 45
168. Point  185 150 50
169. Point  190 150 -50
170. Point  190 150 -45
171. Point  190 150 -40
172. Point  190 150 -35
173. Point  190 150 -30
174. Point  190 150 -25
175. Point  190 150 -20
176. Point  190 150 -15
177. Point  190 150 -10
178. Point  190 150 -5
179. Point  190 150 0
180. Point  190 150 5
181. Point  190 150 10
182. Point  190 150 15
183. Point  190 150 20
184. Point  190 150 25
185. Point  190 150 30
186. Point  190 150 35
187. Point  190 150 40
188. Point  190 150 45
189. Point  190 150 50
190. Point  195 150 -50
191. Point  195 150 -45
192. Point  195 150 -40
193. Point  195 150 -35
194. Point  195 150 -30
195. Point  195 150 -25
196. Point  195 150 -20
197. Point  195 150 -15
198. Point  195 150 -10
199. Point  195 150 -5
200. Point  195 150 0
201. Point  195 150 5
202. Point  195 150 10
203. Point  195 150 15
204. Point  195 150 20
205. Point  195 150 25
206. Point  195 150 30
207. Point  195 150 35
208. Point  195 150 40
209. Point  195 150 45
210. Point  195 150 50
211. Point  200 150 -50
212. Point  200 150 -45
213. Point  200 150 -40
214. Point  200 150 -35
215. Point  200 150 -30
216. Point  200 150 -25
217. Point  200 150 -20
218. Point  200 150 -15
219. Point  200 150 -10
220. Point  200 150 -5
221. Point  200 150 0
222. Point  200 150 5
223. Point  200 150 10
224. Point  200 150 15
225. Point  200 150 20
226. Point  200 150 25
227. Point  200 150 30
228. Point  200 150 35
229. Point  200 150 40
230. Point  200 150 45
231. Point  200 150 50
232. Point  205 150 -50
233. Point  205 150 -45
234. Point  205 150 -40
235. Point  205 150 -35
236. Point  205 150 -30
237. Point  205 150 -25
238. Point  205 150 -20
239. Point  205 150 -15
240. Point  205 150 -10
241. Point  205 150 -5
242. Point  205 150 0
243. Point  205 150 5
244. Point  205 150 10
245. Point  205 150 15
246. Point  205 150 20
247. Point  205 150 25
248. Point  205 150 30
249. Point  205 150 35
250. Point  205 150 40
251. Point  205 150 45
252. Point  205 150 50
253. Point  210 150 -50
254. Point  210 150 -45
255. Point  210 150 -40
256. Point  210 150 -35
257. Point  210 150 -30
258. Point  210 150 -25
259. Point  210 150 -20
260. Point  210 150 -15
261. Point  210 150 -10
262. Point  210 150 -5
263. Point  210 150 0
264. Point  210 150 5
265. Point  210 150 10
266. Point  210 150 15
267. Point  210 150 20
268. Point  210 150 25
269. Point  210 150 30
270. Point  210 150 35
271. Point  210 150 40
272. Point  210 150 45
273. Point  210 150 50
274. Point  215 150 -50
275. Point  215 150 -45
276. Point  215 150 -40
277. Point  215 150 -35
278. Point  215 150 -30
279. Point  215 150 -25
280. Point  215 150 -20
281. Point  215 150 -15
282. Point  215 150 -10
283. Point  215 150 -5
284. Point  215 150 0
285. Point  215 150 5
286. Point  215 150 10
287. Point  215 150 15
288. Point  215 150 20
289. Point  215 150 25
290. Point  215 150 30
291. Point  215 150 35
292. Point  215 150 40
293. Point  215 150 45
294. Point  215 150 50
295. Point  220 150 -50
296. Point  220 150 -45
297. Point  220 150 -40
298. Point  220 150 -35
299. Point  220 150 -30
300. Point  220 150 -25
301. Point  220 150 -20
302. Point  220 150 -15
303. Point  220 150 -10
304. Point  220 150 -5
305. Point  220 150 0
306. Point  220 150 5
307. Point  220 150 10
308. Point  220 150 15
309. Point  220 150 20
310. Point  220 150 25
311. Point  220 150 30
312. Point  220 150 35
313. Point  220 150 40
314. Point  220 150 45
315. Point  220 150 50
316. Point  225 150 -50
317. Point  225 150 -45
318. Point  225 150 -40
319. Point  225 150 -35
320. Point  225 150 -30
321. Point  225 150 -25
322. Point  225 150 -20
323. Point  225 150 -15
324. Point  225 150 -10
325. Point  225 150 -5
326. Point  225 150 0
327. Point  225 150 5
328. Point  225 150 10
329. Point  225 150 15
330. Point  225 150 20
331. Point  225 150 25
332. Point  225 150 30
333. Point  225 150 35
334. Point  225 150 40
335. Point  225 150 45
336. Point  225 150 50
337. Point  230 150 -50
338. Point  230 150 -45
339. Point  230 150 -40
340. Point  230 150 -35
341. Point  230 150 -30
342. Point  230 150 -25
343. Point  230 150 -20
344. Point  230 150 -15
345. Point  230 150 -10
346. Point  230 150 -5
347. Point  230 150 0
348. Point  230 150 5
349. Point  230 150 10
350. Point  230 150 15
351. Point  230 150 20
352. Point  230 150 25
353. Point  230 150 30
354. Point  230 150 35
355. Point  230 150 40
356. Point  230 150 45
357. Point  230 150 50
358. Point  235 150 -50
359. Point  235 150 -45
360. Point  235 150 -40
361. Point  235 150 -35
362. Point  235 150 -30
363. Point  235 150 -25
364. Point  235 150 -20
365. Point  235 150 -15
366. Point  235 150 -10
367. Point  235 150 -5
368. Point  235 150 0
369. Point  235 150 5
370. Point  235 150 10
371. Point  235 150 15
372. Point  235 150 20
373. Point  235 150 25
374. Point  235 150 30
375. Point  235 150 35
376. Point  235 150 40
377. Point  235 150 45
378. Point  235 150 50
379. Point  240 150 -50
380. Point  240 150 -45
381. Point  240 150 -40
382. Point  240 150 -35
383. Point  240 150 -30
384. Point  240 150 -25
385. Point  240 150 -20
386. Point  240 150 -15
387. Point  240 150 -10
388. Point  240 150 -5
389. Point  240 150 0
390. Point  240 150 5
391. Point  240 150 10
392. Point  240 150 15
393. Point  240 150 20
394. Point  240 150 25
395. Point  240 150 30
396. Point  240 150 35
397. Point  240 150 40
398. Point  240 150 45
399. Point  240 150 50
400. Point  245 150 -50
401. Point  245 150 -45
402. Point  245 150 -40
403. Point  245 150 -35
404. Point  245 150 -30
405. Point  245 150 -25
406. Point  245 150 -20
407. Point  245 150 -15
408. Point  245 150 -10
409. Point  245 150 -5
410. Point  245 150 0
411. Point  245 150 5
412. Point  245 150 10
413. Point  245 150 15
414. Point  245 150 20
415. Point  245 150 25
416. Point  245 150 30
417. Point  245 150 35
418. Point  245 150 40
419. Point  245 150 45
420. Point  245 150 50
421. Point  250 150 -50
422. Point  250 150 -45
423. Point  250 150 -40
424. Point  250 150 -35
425. Point  250 150 -30
426. Point  250 150 -25
427. Point  250 150 -20
428. Point  250 150 -15
429. Point  250 150 -10
430. Point  250 150 -5
431. Point  250 150 0
432. Point  250 150 5
433. Point  250 150 10
434. Point  250 150 15
435. Point  250 150 20
436. Point  250 150 25
437. Point  250 150 30
438. Point  250 150 35
439. Point  250 150 40
440. Point  250 150 45
441. Point  250 150 50
442. Point  0 400 -50
443. Point  0 400 50
444. Point  150 150 -50
445. Point  150 150 -45
446. Point  150 150 -40
447. Point  150 150 -35
448. Point  150 150 -30
449. Point  150 150 -25
450. Point  150 150 -20
451. Point  150 150 -15
452. Point  150 150 -10
453. Point  150 150 -5
454. Point  150 150 0
455. Point  150 150 5
456. Point  150 150 10
457. Point  150 150 15
458. Point  150 150 20
459. Point  150 150 25
460. Point  150 150 30
461. Point  150 150 35
462. Point  150 150 40
463. Point  150 150 45
464. Point  150 150 50
465. Point  150 155 -50
466. Point  150 155 -45
467. Point  150 155 -40
468. Point  150 155 -35
469. Point  150 155 -30
470. Point  150 155 -25
471. Point  150 155 -20
472. Point  150 155 -15
473. Point  150 155 -10
474. Point  150 155 -5
475. Point  150 155 0
476. Point  150 155 5
477. Point  150 155 10
478. Point  150 155 15
479. Point  150 155 20
480. Point  150 155 25
481. Point  150 155 30
482. Point  150 155 35
483. Point  150 155 40
484. Point  150 155 45
485. Point  150 155 50
486. Point  150 160 -50
487. Point  150 160 -45
488. Point  150 160 -40
489. Point  150 160 -35
490. Point  150 160 -30
491. Point  150 160 -25
492. Point  150 160 -20
493. Point  150 160 -15
494. Point  150 160 -10
495. Point  150 160 -5
496. Point  150 160 0
497. Point  150 160 5
498. Point  150 160 10
499. Point  150 160 15
500. Point  150 160 20
501. Point  150 160 25
502. Point  150 160 30
503. Point  150 160 35
504. Point  150 160 40
505. Point  150 160 45
506. Point  150 160 50
507. Point  150 165 -50
508. Point  150 165 -45
509. Point  150 165 -40
510. Point  150 165 -35
511. Point  150 165 -30
512. Point  150 165 -25
513. Point  150 165 -20
514. Point  150 165 -15
515. Point  150 165 -10
516. Point  150 165 -5
517. Point  150 165 0
518. Point  150 165 5
519. Point  150 165 10
520. Point  150 165 15
521. Point  150 165 20
522. Point  150 165 25
523. Point  150 165 30
524. Point  150 165 35
525. Point  150 165 40
526. Point  150 165 45
527. Point  150 165 50
528. Point  150 170 -50
529. Point  150 170 -45
530. Point  150 170 -40
531. Point  150 170 -35
532. Point  150 170 -30
533. Point  150 170 -25
534. Point  150 170 -20
535. Point  150 170 -15
536. Point  150 170 -10
537. Point  150 170 -5
538. Point  150 170 0
539. Point  150 170 5
540. Point  150 170 10
541. Point  150 170 15
542. Point  150 170 20
543. Point  150 170 25
544. Point  150 170 30
545. Point  150 170 35
546. Point  150 170 40
547. Point  150 170 45
548. Point  150 170 50
549. Point  150 175 -50
550. Point  150 175 -45
551. Point  150 175 -40
552. Point  150 175 -35
553. Point  150 175 -30
554. Point  150 175 -25
555. Point  150 175 -20
556. Point  150 175 -15
557. Point  150 175 -10
558. Point  150 175 -5
559. Point  150 175 0
560. Point  150 175 5
561. Point  150 175 10
562. Point  150 175 15
563. Point  150 175 20
564. Point  150 175 25
565. Point  150 175 30
566. Point  150 175 35
567. Point  150 175 40
568. Point  150 175 45
569. Point  150 175 50
570. Point  150 180 -50
571. Point  150 180 -45
572. Point  150 180 -40
573. Point  150 180 -35
574. Point  150 180 -30
575. Point  150 180 -25
576. Point  150 180 -20
577. Point  150 180 -15
578. Point  150 180 -10
579. Point  150 180 -5
580. Point  150 180 0
581. Point  150 180 5
582. Point  150 180 10
583. Point  150 180 15
584. Point  150 180 20
585. Point  150 180 25
586. Point  150 180 30
587. Point  150 180 35
588. Point  150 180 40
589. Point  150 180 45
590. Point  150 180 50
591. Point  150 185 -50
592. Point  150 185 -45
593. Point  150 185 -40
594. Point  150 185 -35
595. Point  150 185 -30
596. Point  150 185 -25
597. Point  150 185 -20
598. Point  150 185 -15
599. Point  150 185 -10
600. Point  150 185 -5
601. Point  150 185 0
602. Point  150 185 5
603. Point  150 185 10
604. Point  150 185 15
605. Point  150 185 20
606. Point  150 185 25
607. Point  150 185 30
608. Point  150 185 35
609. Point  150 185 40
610. Point  150 185 45
611. Point  150 185 50
612. Point  150 190 -50
613. Point  150 190 -45
614. Point  150 190 -40
615. Point  150 190 -35
616. Point  150 190 -30
617. Point  150 190 -25
618. Point  150 190 -20
619. Point  150 190 -15
620. Point  150 190 -10
621. Point  150 190 -5
622. Point  150 190 0
623. Point  150 190 5
624. Point  150 190 10
625. Point  150 190 15
626. Point  150 190 20
627. Point  150 190 25
628. Point  150 190 30
629. Point  150 190 35
630. Point  150 190 40
631. Point  150 190 45
632. Point  150 190 50
633. Point  150 195 -50
634. Point  150 195 -45
635. Point  150 195 -40
636. Point  150 195 -35
637. Point  150 195 -30
638. Point  150 195 -25
639. Point  150 195 -20
640. Point  150 195 -15
641. Point  150 195 -10
642. Point  150 195 -5
643. Point  150 195 0
644. Point  150 195 5
645. Point  150 195 10
646. Point  150 195 15
647. Point  150 195 20
648. Point  150 195 25
649. Point  150 195 30
650. Point  150 195 35
651. Point  150 195 40
652. Point  150 195 45
653. Point  150 195 50
654. Point  150 200 -50
655. Point  150 200 -45
656. Point  150 200 -40
657. Point  150 200 -35
658. Point  150 200 -30
659. Point  150 200 -25
660. Point  150 200 -20
661. Point  150 200 -15
662. Point  150 200 -10
663. Point  150 200 -5
664. Point  150 200 0
665. Point  150 200 5
666. Point  150 200 10
667. Point  150 200 15
668. Point  150 200 20
669. Point  150 200 25
670. Point  150 200 30
671. Point  150 200 35
672. Point  150 200 40
673. Point  150 200 45
674. Point  150 200 50
675. Point  150 205 -50
676. Point  150 205 -45
677. Point  150 205 -40
678. Point  150 205 -35
679. Point  150 205 -30
680. Point  150 205 -25
681. Point  150 205 -20
682. Point  150 205 -15
683. Point  150 205 -10
684. Point  150 205 -5
685. Point  150 205 0
686. Point  150 205 5
687. Point  150 205 10
688. Point  150 205 15
689. Point  150 205 20
690. Point  150 205 25
691. Point  150 205 30
692. Point  150 205 35
693. Point  150 205 40
694. Point  150 205 45
695. Point  150 205 50
696. Point  150 210 -50
697. Point  150 210 -45
698. Point  150 210 -40
699. Point  150 210 -35
700. Point  150 210 -30
701. Point  150 210 -25
702. Point  150 210 -20
703. Point  150 210 -15
704. Point  150 210 -10
705. Point  150 210 -5
706. Point  150 210 0
707. Point  150 210 5
708. Point  150 210 10
709. Point  150 210 15
710. Point  150 210 20
711. Point  150 210 25
712. Point  150 210 30
713. Point  150 210 35
714. Point  150 210 40
715. Point  150 210 45
716. Point  150 210 50
717. Point  150 215 -50
718. Point  150 215 -45
719. Point  150 215 -40
720. Point  150 215 -35
721. Point  150 215 -30
722. Point  150 215 -25
723. Point  150 215 -20
724. Point  150 215 -15
725. Point  150 215 -10
726. Point  150 215 -5
727. Point  150 215 0
728. Point  150 215 5
729. Point  150 215 10
730. Point  150 215 15
731. Point  150 215 20
732. Point  150 215 25
733. Point  150 215 30
734. Point  150 215 35
735. Point  150 215 40
736. Point  150 215 45
737. Point  150 215 50
738. Point  150 220 -50
739. Point  150 220 -45
740. Point  150 220 -40
741. Point  150 220 -35
742. Point  150 220 -30
743. Point  150 220 -25
744. Point  150 220 -20
745. Point  150 220 -15
746. Point  150 220 -10
747. Point  150 220 -5
748. Point  150 220 0
749. Point  150 220 5
750. Point  150 220 10
751. Point  150 220 15
752. Point  150 220 20
753. Point  150 220 25
754. Point  150 220 30
755. Point  150 220 35
756. Point  150 220 40
757. Point  150 220 45
758. Point  150 220 50
759. Point  150 225 -50
760. Point  150 225 -45
761. Point  150 225 -40
762. Point  150 225 -35
763. Point  150 225 -30
764. Point  150 225 -25
765. Point  150 225 -20
766. Point  150 225 -15
767. Point  150 225 -10
768. Point  150 225 -5
769. Point  150 225 0
770. Point  150 225 5
771. Point  150 225 10
772. Point  150 225 15
773. Point  150 225 20
774. Point  150 225 25
775. Point  150 225 30
776. Point  150 225 35
777. Point  150 225 40
778. Point  150 225 45
779. Point  150 225 50
780. Point  150 230 -50
781. Point  150 230 -45
782. Point  150 230 -40
783. Point  150 230 -35
784. Point  150 230 -30
785. Point  150 230 -25
786. Point  150 230 -20
787. Point  150 230 -15
788. Point  150 230 -10
789. Point  150 230 -5
790. Point  150 230 0
791. Point  150 230 5
792. Point  150 230 10
793. Point  150 230 15
794. Point  150 230 20
795. Point  150 230 25
796. Point  150 230 30
797. Point  150 230 35
798. Point  150 230 40
799. Point  150 230 45
800. Point  150 230 50
801. Point  150 235 -50
802. Point  150 235 -45
803. Point  150 235 -40
804. Point  150 235 -35
805. Point  150 235 -30
806. Point  150 235 -25
807. Point  150 235 -20
808. Point  150 235 -15
809. Point  150 235 -10
810. Point  150 235 -5
811. Point  150 235 0
812. Point  150 235 5
813. Point  150 235 10
814. Point  150 235 15
815. Point  150 235 20
816. Point  150 235 25
817. Point  150 235 30
818. Point  150 235 35
819. Point  150 235 40
820. Point  150 235 45
821. Point  150 235 50
822. Point  150 240 -50
823. Point  150 240 -45
824. Point  150 240 -40
825. Point  150 240 -35
826. Point  150 240 -30
827. Point  150 240 -25
828. Point  150 240 -20
829. Point  150 240 -15
830. Point  150 240 -10
831. Point  150 240 -5
832. Point  150 240 0
833. Point  150 240 5
834. Point  150 240 10
835. Point  150 240 15
836. Point  150 240 20
837. Point  150 240 25
838. Point  150 240 30
839. Point  150 240 35
840. Point  150 240 40
841. Point  150 240 45
842. Point  150 240 50
843. Point  150 245 -50
844. Point  150 245 -45
845. Point  150 245 -40
846. Point  150 245 -35
847. Point  150 245 -30
848. Point  150 245 -25
849. Point  150 245 -20
850. Point  150 245 -15
851. Point  150 245 -10
852. Point  150 245 -5
853. Point  150 245 0
854. Point  150 245 5
855. Point  150 245 10
856. Point  150 245 15
857. Point  150 245 20
858. Point  150 245 25
859. Point  150 245 30
860. Point  150 245 35
861. Point  150 245 40
862. Point  150 245 45
863. Point  150 245 50
864. Point  150 250 -50
865. Point  150 250 -45
866. Point  150 250 -40
867. Point  150 250 -35
868. Point  150 250 -30
869. Point  150 250 -25
870. Point  150 250 -20
871. Point  150 250 -15
872. Point  150 250 -10
873. Point  150 250 -5
874. Point  150 250 0
875. Point  150 250 5
876. Point  150 250 10
877. Point  150 250 15
878. Point  150 250 20
879. Point  150 250 25
880. Point  150 250 30
881. Point  150 250 35
882. Point  150 250 40
883. Point  150 250 45
884. Point  150 250 50
885. Point  400 0 -50
886. Point  400 0 50
887. Point  50 50 50
