1. Point  200 200 -50
128. Point  230 200 -45
129. Point  230 200 -40
130. Point  230 200 -35
131. Point  230 200 -30
132. Point  230 200 -25
133. Point  230 200 -20
134. Point  230 200 -15
135. Point  230 200 -10
136. Point  230 200 -5
137. Point  230 200 0
138. Point  230 200 5
139. Point  230 200 10
140. Point  230 200 15
141. Point  230 200 20
142. Point  230 200 25
143. Point  230 200 30
144. Point  230 200 35
145. Point  230 200 40
146. Point  230 200 45
147. Point  230 200 50
148. Point  235 200 -50
149. Point  235 200 -45
150. Point  235 200 -40
151. Point  235 200 -35
152. Point  235 200 -30
153. Point  235 200 -25
154. Point  235 200 -20
155. Point  235 200 -15
156. Point  235 200 -10
157. Point  235 200 -5
158. Point  235 200 0
159. Point  235 200 5
160. Point  235 200 10
161. Point  235 200 15
162. Point  235 200 20
163. Point  235 200 25
164. Point  235 200 30
165. Point  235 200 35
166. Point  235 200 40
167. Point  235 200 45
168. Point  235 200 50
169. Point  240 200 -50
170. Point  240 200 -45
171. Point  240 200 -40
172. Point  240 200 -35
173. Point  240 200 -30
174. Point  240 200 -25
175. Point  240 200 -20
176. Point  240 200 -15
177. Point  240 200 -10
178. Point  240 200 -5
179. Point  240 200 0
180. Point  240 200 5
181. Point  240 200 10
182. Point  240 200 15
183. Point  240 200 20
184. Point  240 200 25
185. Point  240 200 30
186. Point  240 200 35
187. Point  240 200 40
188. Point  240 200 45
189. Point  240 200 50
190. Point  245 200 -50
191. Point  245 200 -45
192. Point  245 200 -40
193. Point  245 200 -35
194. Point  245 200 -30
195. Point  245 200 -25
196. Point  245 200 -20
197. Point  245 200 -15
198. Point  245 200 -10
199. Point  245 200 -5
200. Point  245 200 0
201. Point  245 200 5
202. Point  245 200 10
203. Point  245 200 15
204. Point  245 200 20
205. Point  245 200 25
206. Point  245 200 30
207. Point  245 200 35
208. Point  245 200 40
209. Point  245 200 45
210. Point  245 200 50
211. Point  250 200 -50
212. Point  250 200 -45
213. Point  250 200 -40
214. Point  250 200 -35
215. Point  250 200 -30
216. Point  250 200 -25
217. Point  250 200 -20
218. Point  250 200 -15
219. Point  250 200 -10
220. Point  250 200 -5
221. Point  250 200 0
222. Point  250 200 5
223. Point  250 200 10
224. Point  250 200 15
225. Point  250 200 20
226. Point  250 200 25
227. Point  250 200 30
228. Point  250 200 35
229. Point  250 200 40
230. Point  250 200 45
231. Point  250 200 50
232. Point  255 200 -50
233. Point  255 200 -45
234. Point  255 200 -40
235. Point  255 200 -35
236. Point  255 200 -30
237. Point  255 200 -25
238. Point  255 200 -20
239. Point  255 200 -15
240. Point  255 200 -10
241. Point  255 200 -5
242. Point  255 200 0
243. Point  255 200 5
244. Point  255 200 10
245. Point  255 200 15
246. Point  255 200 20
247. Point  255 200 25
248. Point  255 200 30
249. Point  255 200 35
250. Point  255 200 40
251. Point  255 200 45
252. Point  255 200 50
253. Point  260 200 -50
254. Point  260 200 -45
255. Point  260 200 -40
256. Point  260 200 -35
257. Point  260 200 -30
258. Point  260 200 -25
259. Point  260 200 -20
260. Point  260 200 -15
261. Point  260 200 -10
262. Point  260 200 -5
263. Point  260 200 0
264. Point  260 200 5
265. Point  260 200 10
266. Point  260 200 15
267. Point  260 200 20
268. Point  260 200 25
269. Point  260 200 30
270. Point  260 200 35
271. Point  260 200 40
272. Point  260 200 45
273. Point  260 200 50
274. Point  265 200 -50
275. Point  265 200 -45
276. Point  265 200 -40
277. Point  265 200 -35
278. Point  265 200 -30
279. Point  265 200 -25
280. Point  265 200 -20
281. Point  265 200 -15
282. Point  265 200 -10
283. Point  265 200 -5
284. Point  265 200 0
285. Point  265 200 5
286. Point  265 200 10
287. Point  265 200 15
288. Point  265 200 20
289. Point  265 200 25
290. Point  265 200 30
291. Point  265 200 35
292. Point  265 200 40
293. Point  265 200 45
294. Point  265 200 50
295. Point  270 200 -50
296. Point  270 200 -45
297. Point  270 200 -40
298. Point  270 200 -35
299. Point  270 200 -30
300. Point  270 200 -25
301. Point  270 200 -20
302. Point  270 200 -15
303. Point  270 200 -10
304. Point  270 200 -5
305. Point  270 200 0
306. Point  270 200 5
307. Point  270 200 10
308. Point  270 200 15
309. Point  270 200 20
310. Point  270 200 25
311. Point  270 200 30
312. Point  270 200 35
313. Point  270 200 40
314. Point  270 200 45
315. Point  270 200 50
316. Point  275 200 -50
317. Point  275 200 -45
318. Point  275 200 -40
319. Point  275 200 -35
320. Point  275 200 -30
321. Point  275 200 -25
322. Point  275 200 -20
323. Point  275 200 -15
324. Point  275 200 -10
325. Point  275 200 -5
326. Point  275 200 0
327. Point  275 200 5
328. Point  275 200 10
329. Point  275 200 15
330. Point  275 200 20
331. Point  275 200 25
332. Point  275 200 30
333. Point  275 200 35
334. Point  275 200 40
335. Point  275 200 45
336. Point  275 200 50
337. Point  280 200 -50
338. Point  280 200 -45
339. Point  280 200 -40
340. Point  280 200 -35
341. Point  280 200 -30
342. Point  280 200 -25
343. Point  280 200 -20
344. Point  280 200 -15
345. Point  280 200 -10
346. Point  280 200 -5
347. Point  280 200 0
348. Point  280 200 5
349. Point  280 200 10
350. Point  280 200 15
351. Point  280 200 20
352. Point  280 200 25
353. Point  280 200 30
354. Point  280 200 35
355. Point  280 200 40
356. Point  280 200 45
357. Point  280 200 50
358. Point  285 200 -50
359. Point  285 200 -45
360. Point  285 200 -40
361. Point  285 200 -35
362. Point  285 200 -30
363. Point  285 200 -25
364. Point  285 200 -20
365. Point  285 200 -15
366. Point  285 200 -10
367. Point  285 200 -5
368. Point  285 200 0
369. Point  285 200 5
370. Point  285 200 10
371. Point  285 200 15
372. Point  285 200 20
373. Point  285 200 25
374. Point  285 200 30
375. Point  285 200 35
376. Point  285 200 40
377. Point  285 200 45
378. Point  285 200 50
379. Point  290 200 -50
380. Point  290 200 -45
381. Point  290 200 -40
382. Point  290 200 -35
383. Point  290 200 -30
384. Point  290 200 -25
385. Point  290 200 -20
386. Point  290 200 -15
387. Point  290 200 -10
388. Point  290 200 -5
389. Point  290 200 0
390. Point  290 200 5
391. Point  290 200 10
392. Point  290 200 15
393. Point  290 200 20
394. Point  290 200 25
395. Point  290 200 30
396. Point  290 200 35
397. Point  290 200 40
398. Point  290 200 45
399. Point  290 200 50
400. Point  295 200 -50
401. Point  295 200 -45
402. Point  295 200 -40
403. Point  295 200 -35
404. Point  295 200 -30
405. Point  295 200 -25
406. Point  295 200 -20
407. Point  295 200 -15
408. Point  295 200 -10
409. Point  295 200 -5
410. Point  295 200 0
411. Point  295 200 5
412. Point  295 200 10
413. Point  295 200 15
414. Point  295 200 20
415. Point  295 200 25
416. Point  295 200 30
417. Point  295 200 35
418. Point  295 200 40
419. Point  295 200 45
420. Point  295 200 50
421. Point  300 200 -50
422. Point  300 200 -45
423. Point  300 200 -40
424. Point  300 200 -35
425. Point  300 200 -30
426. Point  300 200 -25
427. Point  300 200 -20
428. Point  300 200 -15
429. Point  300 200 -10
430. Point  300 200 -5
431. Point  300 200 0
432. Point  300 200 5
433. Point  300 200 10
434. Point  300 200 15
435. Point  300 200 20
436. Point  300 200 25
437. Point  300 200 30
438. Point  300 200 35
439. Point  300 200 40
440. Point  300 200 45
441. Point  300 200 50
442. Point  150 150 -50
443. Point  150 150 50
444. Point  200 200 -50
445. Point  200 200 -45
446. Point  200 200 -40
447. Point  200 200 -35
448. Point  200 200 -30
449. Point  200 200 -25
450. Point  200 200 -20
451. Point  200 200 -15
452. Point  200 200 -10
453. Point  200 200 -5
454. Point  200 200 0
455. Point  200 200 5
456. Point  200 200 10
457. Point  200 200 15
458. Point  200 200 20
459. Point  200 200 25
460. Point  200 200 30
461. Point  200 200 35
462. Point  200 200 40
463. Point  200 200 45
464. Point  200 200 50
465. Point  200 205 -50
466. Point  200 205 -45
467. Point  200 205 -40
468. Point  200 205 -35
469. Point  200 205 -30
470. Point  200 205 -25
471. Point  200 205 -20
472. Point  200 205 -15
473. Point  200 205 -10
474. Point  200 205 -5
475. Point  200 205 0
476. Point  200 205 5
477. Point  200 205 10
478. Point  200 205 15
479. Point  200 205 20
480. Point  200 205 25
481. Point  200 205 30
482. Point  200 205 35
483. Point  200 205 40
484. Point  200 205 45
485. Point  200 205 50
486. Point  200 210 -50
487. Point  200 210 -45
488. Point  200 210 -40
489. Point  200 210 -35
490. Point  200 210 -30
491. Point  200 210 -25
492. Point  200 210 -20
493. Point  200 210 -15
494. Point  200 210 -10
495. Point  200 210 -5
496. Point  200 210 0
497. Point  200 210 5
498. Point  200 210 10
499. Point  200 210 15
500. Point  200 210 20
501. Point  200 210 25
502. Point  200 210 30
503. Point  200 210 35
504. Point  200 210 40
505. Point  200 210 45
506. Point  200 210 50
507. Point  200 215 -50
508. Point  200 215 -45
509. Point  200 215 -40
510. Point  200 215 -35
511. Point  200 215 -30
512. Point  200 215 -25
513. Point  200 215 -20
514. Point  200 215 -15
515. Point  200 215 -10
516. Point  200 215 -5
517. Point  200 215 0
518. Point  200 215 5
519. Point  200 215 10
520. Point  200 215 15
521. Point  200 215 20
522. Point  200 215 25
523. Point  200 215 30
524. Point  200 215 35
525. Point  200 215 40
526. Point  200 215 45
527. Point  200 215 50
528. Point  200 220 -50
529. Point  200 220 -45
530. Point  200 220 -40
531. Point  200 220 -35
532. Point  200 220 -30
533. Point  200 220 -25
534. Point  200 220 -20
535. Point  200 220 -15
536. Point  200 220 -10
537. Point  200 220 -5
538. Point  200 220 0
539. Point  200 220 5
540. Point  200 220 10
541. Point  200 220 15
542. Point  200 220 20
543. Point  200 220 25
544. Point  200 220 30
545. Point  200 220 35
546. Point  200 220 40
547. Point  200 220 45
548. Point  200 220 50
549. Point  200 225 -50
550. Point  200 225 -45
551. Point  200 225 -40
552. Point  200 225 -35
553. Point  200 225 -30
554. Point  200 225 -25
555. Point  200 225 -20
556. Point  200 225 -15
557. Point  200 225 -10
558. Point  200 225 -5
559. Point  200 225 0
560. Point  200 225 5
561. Point  200 225 10
562. Point  200 225 15
563. Point  200 225 20
564. Point  200 225 25
565. Point  200 225 30
566. Point  200 225 35
567. Point  200 225 40
568. Point  200 225 45
569. Point  200 225 50
570. Point  200 230 -50
571. Point  200 230 -45
572. Point  200 230 -40
573. Point  200 230 -35
574. Point  200 230 -30
575. Point  200 230 -25
576. Point  200 230 -20
577. Point  200 230 -15
578. Point  200 230 -10
579. Point  200 230 -5
580. Point  200 230 0
581. Point  200 230 5
582. Point  200 230 10
583. Point  200 230 15
584. Point  200 230 20
585. Point  200 230 25
586. Point  200 230 30
587. Point  200 230 35
588. Point  200 230 40
589. Point  200 230 45
590. Point  200 230 50
591. Point  200 235 -50
592. Point  200 235 -45
593. Point  200 235 -40
594. Point  200 235 -35
595. Point  200 235 -30
596. Point  200 235 -25
597. Point  200 235 -20
598. Point  200 235 -15
599. Point  200 235 -10
600. Point  200 235 -5
601. Point  200 235 0
602. Point  200 235 5
603. Point  200 235 10
604. Point  200 235 15
605. Point  200 235 20
606. Point  200 235 25
607. Point  200 235 30
608. Point  200 235 35
609. Point  200 235 40
610. Point  200 235 45
611. Point  200 235 50
612. Point  200 240 -50
613. Point  200 240 -45
614. Point  200 240 -40
615. Point  200 240 -35
616. Point  200 240 -30
617. Point  200 240 -25
618. Point  200 240 -20
619. Point  200 240 -15
620. Point  200 240 -10
621. Point  200 240 -5
622. Point  200 240 0
623. Point  200 240 5
624. Point  200 240 10
625. Point  200 240 15
626. Point  200 240 20
627. Point  200 240 25
628. Point  200 240 30
629. Point  200 240 35
630. Point  200 240 40
631. Point  200 240 45
632. Point  200 240 50
633. Point  200 245 -50
634. Point  200 245 -45
635. Point  200 245 -40
636. Point  200 245 -35
637. Point  200 245 -30
638. Point  200 245 -25
639. Point  200 245 -20
640. Point  200 245 -15
641. Point  200 245 -10
642. Point  200 245 -5
643. Point  200 245 0
644. Point  200 245 5
645. Point  200 245 10
646. Point  200 245 15
647. Point  200 245 20
648. Point  200 245 25
649. Point  200 245 30
650. Point  200 245 35
651. Point  200 245 40
652. Point  200 245 45
653. Point  200 245 50
654. Point  200 250 -50
655. Point  200 250 -45
656. Point  200 250 -40
657. Point  200 250 -35
658. Point  200 250 -30
659. Point  200 250 -25
660. Point  200 250 -20
661. Point  200 250 -15
662. Point  200 250 -10
663. Point  200 250 -5
664. Point  200 250 0
665. Point  200 250 5
666. Point  200 250 10
667. Point  200 250 15
668. Point  200 250 20
669. Point  200 250 25
670. Point  200 250 30
671. Point  200 250 35
672. Point  200 250 40
673. Point  200 250 45
674. Point  200 250 50
675. Point  200 255 -50
676. Point  200 255 -45
677. Point  200 255 -40
678. Point  200 255 -35
679. Point  200 255 -30
680. Point  200 255 -25
681. Point  200 255 -20
682. Point  200 255 -15
683. Point  200 255 -10
684. Point  200 255 -5
685. Point  200 255 0
686. Point  200 255 5
687. Point  200 255 10
688. Point  200 255 15
689. Point  200 255 20
690. Point  200 255 25
691. Point  200 255 30
692. Point  200 255 35
693. Point  200 255 40
694. Point  200 255 45
695. Point  200 255 50
696. Point  200 260 -50
697. Point  200 260 -45
698. Point  200 260 -40
699. Point  200 260 -35
700. Point  200 260 -30
701. Point  200 260 -25
702. Point  200 260 -20
703. Point  200 260 -15
704. Point  200 260 -10
705. Point  200 260 -5
706. Point  200 260 0
707. Point  200 260 5
708. Point  200 260 10
709. Point  200 260 15
710. Point  200 260 20
711. Point  200 260 25
712. Point  200 260 30
713. Point  200 260 35
714. Point  200 260 40
715. Point  200 260 45
716. Point  200 260 50
717. Point  200 265 -50
718. Point  200 265 -45
719. Point  200 265 -40
720. Point  200 265 -35
721. Point  200 265 -30
722. Point  200 265 -25
723. Point  200 265 -20
724. Point  200 265 -15
725. Point  200 265 -10
726. Point  200 265 -5
727. Point  200 265 0
728. Point  200 265 5
729. Point  200 265 10
730. Point  200 265 15
731. Point  200 265 20
732. Point  200 265 25
733. Point  200 265 30
734. Point  200 265 35
735. Point  200 265 40
736. Point  200 265 45
737. Point  200 265 50
738. Point  200 270 -50
739. Point  200 270 -45
740. Point  200 270 -40
741. Point  200 270 -35
742. Point  200 270 -30
743. Point  200 270 -25
744. Point  200 270 -20
745. Point  200 270 -15
746. Point  200 270 -10
747. Point  200 270 -5
748. Point  200 270 0
749. Point  200 270 5
750. Point  200 270 10
751. Point  200 270 15
752. Point  200 270 20
753. Point  200 270 25
754. Point  200 270 30
755. Point  200 270 35
756. Point  200 270 40
757. Point  200 270 45
758. Point  200 270 50
759. Point  200 275 -50
760. Point  200 275 -45
761. Point  200 275 -40
762. Point  200 275 -35
763. Point  200 275 -30
764. Point  200 275 -25
765. Point  200 275 -20
766. Point  200 275 -15
767. Point  200 275 -10
768. Point  200 275 -5
769. Point  200 275 0
770. Point  200 275 5
771. Point  200 275 10
772. Point  200 275 15
773. Point  200 275 20
774. Point  200 275 25
775. Point  200 275 30
776. Point  200 275 35
777. Point  200 275 40
778. Point  200 275 45
779. Point  200 275 50
780. Point  200 280 -50
781. Point  200 280 -45
782. Point  200 280 -40
783. Point  200 280 -35
784. Point  200 280 -30
785. Point  200 280 -25
786. Point  200 280 -20
787. Point  200 280 -15
788. Point  200 280 -10
789. Point  200 280 -5
790. Point  200 280 0
791. Point  200 280 5
792. Point  200 280 10
793. Point  200 280 15
794. Point  200 280 20
795. Point  200 280 25
796. Point  200 280 30
797. Point  200 280 35
798. Point  200 280 40
799. Point  200 280 45
800. Point  200 280 50
801. Point  200 285 -50
802. Point  200 285 -45
803. Point  200 285 -40
804. Point  200 285 -35
805. Point  200 285 -30
806. Point  200 285 -25
807. Point  200 285 -20
808. Point  200 285 -15
809. Point  200 285 -10
810. Point  200 285 -5
811. Point  200 285 0
812. Point  200 285 5
813. Point  200 285 10
814. Point  200 285 15
815. Point  200 285 20
816. Point  200 285 25
817. Point  200 285 30
818. Point  200 285 35
819. Point  200 285 40
820. Point  200 285 45
821. Point  200 285 50
822. Point  200 290 -50
823. Point  200 290 -45
824. Point  200 290 -40
825. Point  200 290 -35
826. Point  200 290 -30
827. Point  200 290 -25
828. Point  200 290 -20
829. Point  200 290 -15
830. Point  200 290 -10
831. Point  200 290 -5
832. Point  200 290 0
833. Point  200 290 5
834. Point  200 290 10
835. Point  200 290 15
836. Point  200 290 20
837. Point  200 290 25
838. Point  200 290 30
839. Point  200 290 35
840. Point  200 290 40
841. Point  200 290 45
842. Point  200 290 50
843. Point  200 295 -50
844. Point  200 295 -45
845. Point  200 295 -40
846. Point  200 295 -35
847. Point  200 295 -30
848. Point  200 295 -25
849. Point  200 295 -20
850. Point  200 295 -15
851. Point  200 295 -10
852. Point  200 295 -5
853. Point  200 295 0
854. Point  200 295 5
855. Point  200 295 10
856. Point  200 295 15
857. Point  200 295 20
858. Point  200 295 25
859. Point  200 295 30
860. Point  200 295 35
861. Point  200 295 40
862. Point  200 295 45
863. Point  200 295 50
864. Point  200 300 -50
865. Point  200 300 -45
866. Point  200 300 -40
867. Point  200 300 -35
868. Point  200 300 -30
869. Point  200 300 -25
870. Point  200 300 -20
871. Point  200 300 -15
872. Point  200 300 -10
873. Point  200 300 -5
874. Point  200 300 0
875. Point  200 300 5
876. Point  200 300 10
877. Point  200 300 15
878. Point  200 300 20
879. Point  200 300 25
880. Point  200 300 30
881. Point  200 300 35
882. Point  200 300 40
883. Point  200 300 45
884. Point  200 300 50
885. Point  50 50 50
